antecedent,antecedent_logic,consequent,consequent_logic,support,confidence,coverage,lift,count
nausea,TRUE,headache,TRUE,0.112195122,0.481675393,0.232926829,2.089808582,552
nausea,FALSE,headache,FALSE,0.648780488,0.845786963,0.767073171,1.099120935,3192
headache,TRUE,nausea,TRUE,0.112195122,0.486772487,0.230487805,2.089808582,552
headache,FALSE,nausea,FALSE,0.648780488,0.843106181,0.769512195,1.099120935,3192
high_fever,TRUE,headache,TRUE,0.112195122,0.405286344,0.276829268,1.758385195,552
high_fever,FALSE,headache,FALSE,0.604878049,0.836424958,0.723170732,1.086954779,2976
headache,TRUE,high_fever,TRUE,0.112195122,0.486772487,0.230487805,1.758385195,552
headache,FALSE,high_fever,FALSE,0.604878049,0.786053883,0.769512195,1.086954779,2976
fatigue,TRUE,headache,TRUE,0.112195122,0.285714286,0.392682927,1.239606954,552
fatigue,FALSE,headache,FALSE,0.48902439,0.805220884,0.607317073,1.046404318,2406
headache,TRUE,fatigue,TRUE,0.112195122,0.486772487,0.230487805,1.239606954,552
headache,FALSE,fatigue,FALSE,0.48902439,0.635499208,0.769512195,1.046404318,2406
yellowing_of_eyes,TRUE,vomiting,TRUE,0.113414634,0.683823529,0.165853659,1.757790891,558
yellowing_of_eyes,FALSE,vomiting,FALSE,0.558536585,0.669590643,0.834146341,1.095936781,2748
vomiting,TRUE,yellowing_of_eyes,TRUE,0.113414634,0.29153605,0.38902439,1.757790891,558
vomiting,FALSE,yellowing_of_eyes,FALSE,0.558536585,0.914171657,0.61097561,1.095936781,2748
nausea,TRUE,vomiting,TRUE,0.198780488,0.853403141,0.232926829,2.193700865,978
nausea,FALSE,vomiting,FALSE,0.576829268,0.751987281,0.767073171,1.230797546,2838
vomiting,TRUE,nausea,TRUE,0.198780488,0.510971787,0.38902439,2.193700865,978
vomiting,FALSE,nausea,FALSE,0.576829268,0.944111776,0.61097561,1.230797546,2838
loss_of_appetite,TRUE,vomiting,TRUE,0.156097561,0.666666667,0.234146341,1.71368861,768
loss_of_appetite,FALSE,vomiting,FALSE,0.532926829,0.695859873,0.765853659,1.138932326,2622
vomiting,TRUE,loss_of_appetite,TRUE,0.156097561,0.401253918,0.38902439,1.71368861,768
vomiting,FALSE,loss_of_appetite,FALSE,0.532926829,0.872255489,0.61097561,1.138932326,2622
yellowing_of_eyes,TRUE,nausea,TRUE,0.11097561,0.669117647,0.165853659,2.872651678,546
yellowing_of_eyes,FALSE,nausea,FALSE,0.712195122,0.85380117,0.834146341,1.113063528,3504
nausea,TRUE,yellowing_of_eyes,TRUE,0.11097561,0.476439791,0.232926829,2.872651678,546
nausea,FALSE,yellowing_of_eyes,FALSE,0.712195122,0.92845787,0.767073171,1.113063528,3504
fatigue,TRUE,loss_of_appetite,TRUE,0.157317073,0.400621118,0.392682927,1.710986025,774
fatigue,FALSE,loss_of_appetite,FALSE,0.530487805,0.873493976,0.607317073,1.140549459,2610
loss_of_appetite,TRUE,fatigue,TRUE,0.157317073,0.671875,0.234146341,1.710986025,774
loss_of_appetite,FALSE,fatigue,FALSE,0.530487805,0.692675159,0.765853659,1.140549459,2610
nausea,TRUE,loss_of_appetite,TRUE,0.135365854,0.581151832,0.232926829,2.482002618,666
nausea,FALSE,loss_of_appetite,FALSE,0.668292683,0.871224165,0.767073171,1.137585694,3288
loss_of_appetite,TRUE,nausea,TRUE,0.135365854,0.578125,0.234146341,2.482002618,666
loss_of_appetite,FALSE,nausea,FALSE,0.668292683,0.872611465,0.765853659,1.137585694,3288
abdominal_pain,TRUE,loss_of_appetite,TRUE,0.132926829,0.63372093,0.209756098,2.706516473,654
abdominal_pain,FALSE,loss_of_appetite,FALSE,0.68902439,0.87191358,0.790243902,1.138485885,3390
loss_of_appetite,TRUE,abdominal_pain,TRUE,0.132926829,0.567708333,0.234146341,2.706516473,654
loss_of_appetite,FALSE,abdominal_pain,FALSE,0.68902439,0.899681529,0.765853659,1.138485885,3390
yellowing_of_eyes,TRUE,loss_of_appetite,TRUE,0.159756098,0.963235294,0.165853659,4.113817402,786
yellowing_of_eyes,FALSE,loss_of_appetite,FALSE,0.759756098,0.910818713,0.834146341,1.189285581,3738
loss_of_appetite,TRUE,yellowing_of_eyes,TRUE,0.159756098,0.682291667,0.234146341,4.113817402,786
loss_of_appetite,FALSE,yellowing_of_eyes,FALSE,0.759756098,0.992038217,0.765853659,1.189285581,3738
fatigue,TRUE,vomiting,TRUE,0.154878049,0.394409938,0.392682927,1.013843727,762
fatigue,FALSE,vomiting,FALSE,0.373170732,0.614457831,0.607317073,1.005699444,1836
vomiting,TRUE,fatigue,TRUE,0.154878049,0.398119122,0.38902439,1.013843727,762
vomiting,FALSE,fatigue,FALSE,0.373170732,0.610778443,0.61097561,1.005699444,1836
high_fever,TRUE,vomiting,TRUE,0.132926829,0.480176211,0.276829268,1.234308757,654
high_fever,FALSE,vomiting,FALSE,0.467073171,0.645868465,0.723170732,1.057110063,2298
vomiting,TRUE,high_fever,TRUE,0.132926829,0.34169279,0.38902439,1.234308757,654
